course_index,name
485,关爱健康·从齿开启
486,建筑概预算与工程量清单
487,华文趣味教学法
488,信息素养与终身学习
489,职场需要的18种能力
490,建筑施工技术
491,单片机原理及应用
492,线性代数-矩阵（微慕课）
493,编译技术
494,钢琴艺术及名著欣赏
495,现代生活美学——花香茶之道
496,市场环境下的企业经营
497,军事理论
498,船舶文化
499,室内花草栽培技术与装饰布景
500,高等分离工程
501,计算机绘图
502,动画剧本创作
503,高技术与现代局部战争
504,法律人看婚姻家事
505,自然辩证法
506,文化差异与跨文化交际
507,习近平新时代中国特色社会主义思想
508,运动生理学
509,美术鉴赏
510,生活中的财务
511,AP备考生物学第四部分
512,AP备考环境科学第三部分
513,工科数学分析（一）
514,电动力学（下）
515,电动力学（上）
516,决胜移动互联网：创业者的商业模式课
517,自动控制原理
518,2017年清华大学研究生学位论文答辩（一）
519,财务分析与决策
520,入党发展党员工作动漫片
521,线性代数（先修课）
522,市场类型与企业竞争
523,PPP理论与实践
524,微软人工智能概览
525,行政职业能力提升
526,微积分
527,学术英语
528,管理咨询
529,LabVIEW进阶课程
530,时域测试技术综合实验
531,工程热力学（下）
532,工程热力学（上）
533,建筑室内热环境模拟及应用
534,AWS 云计算培训课程-云计算解决方案架构师之路（进阶课程）
535,智能设备应用开发（基于Android平台）
536,新生儿科学
537,无人机系统概论
538,安全学原理
539,Electricity & Magnetism
540,动力学
541,运动心理学
542,Web前端攻城狮
543,开元诸相浮沉录（微慕课）
544,光武中兴(微慕课)
545,财政政策与税制改革
546,界面设计导论
547,清华新兴技术探究[MBA]
548,管理经济学[MBA]
549,数据、模型与决策[MBA]
550,中国与世界经济[MBA]
551,大学物理振动、波动与光学
552,英文写作指导——写作入门
553,云计算与软件工程第I部分
554,AWS人工智能系列课程（进阶课程）
555,语言学概论
556,身边的营养学
557,大学物理（先修课）-力学
558,微软人工智能 – 服务和API
559,如何撰写《思想汇报》
560,王民忠：十八届六中全会精神学习辅导
561,如何做一名合格的党支部书记
562,共产党长期执政的合法性
563,初级财务会计
564,JAVA程序设计进阶
565,中国古代礼义文明（下）
566,国民经济运行与统计
567,Human Factors and Culture in Design
568,汽车构造（2）
569,技术创新管理
570,儒家修身之道
571,微软人工智能 – 数据分析平台
572,沟通心理学
573,AP备考生物学第一部分
574,大学英文写作（上）
575,中国传统文化
576,AWS 云计算--Amazon ML 机器学习实战
577,量化金融信用与风控分析
578,一代女皇武则天(微慕课)
579,证券投资分析
580,学做小程序
581,金融工程导论
582,中国广告简史
583,大学物理-力学和热学
584,Thermal Management and Cooling Technologies of Electronic Packages and Data Center
585,看影视学社交礼仪
586,探索台湾当代金工艺术（一）
587,感觉与知觉
588,大脑感知与行动：系统神经科学
589,创业101：你的客户是谁？
590,财务分析与估值
591,AWS 云服务部署和迁移课程（进阶课程）
592,云上的数据分析-实时流处理在AWS上的实现与实践
593,创·课十讲：下一只独角兽的摇篮课
594,现代生活美学——插花之道
595,2015年清华大学研究生学位论文答辩（一）
596,视觉语言
597,英文科技论文写作与学术报告
598,分子生物学原理与技术
599,质性研究方法
600,庄子哲学导读
601,公共管理前沿
602,图像处理与分析
603,走进心理学
604,营商的法律智慧：商法
605,MOOC学习
606,如何玩转学堂云平台
607,创业成功第一步：写好商业计划书
608,影视广告设计
609,中国建筑史
610,产品开发设计
611,营销：人人都需要的一门课
612,摄影测量原理与应用
613,测试系统集成技术
614,民法与生活
615,《红楼梦》的空间艺术
616,比较宪法
617,高等数学实战宝典（上）
618,中国传统艺术——篆刻、书法、水墨画体验与欣赏
619,移动互联网开发
620,AP备考生物学第二部分
621,简明有机化学（先修课）
622,投资银行学
623,金融市场与金融机构
624,古诗今读
625,计算机科学导论
626,产业组织理论
627,关于中国特色社会主义的几个重要问题
628,大学物理1
629,英语语法与写作
630,市场失灵与政府职能
631,创业基础
632,宏观经济学
633,大学国文——先秦至唐文学赏析
634,大学国文——北宋至现代文学赏析
635,市属公积金【农行组合贷】流程及备件
636,电工学
637,电工基础与电子设计
638,算法训练营（专题课）
639,软件即服务 (SaaS) - 第 2 部分
640,党的知识概论
641,电路与电子学 (Circuits and Electronics)
642,为公司把把脉
643,中国建筑史——史前至两宋辽金
644,多元统计分析及R语言建模
645,工程图学
646,AP备考环境科学第二部分
647,文献管理与信息分析
648,经济学的思维方式与供求原理
649,Nutrition and Health Part 1: Macronutrients and Overnutrition
650,英文写作指导——润色提升
651,嵌入式系统理论与技术
652,工科数学分析（二）
653,天线原理
654,飞机推进系统原理
655,免疫学基础——第Ⅰ部分
656,机械振动
657,财务分析基础
658,公益众筹
659,AP备考生物学第三部分
660,教育学导引
661,普通生物学（先修课）
662,神奇的材料世界
663,u.lab 0x: 基于觉察的系统创变：感知和共创未来
664,助教如何走向卓越
665,大学化学（先修课）
666,《砌体结构》（全英课）
667,构型设计制图
668,岭南文化
669,生物医药实验室安全知识
670,u.lab 1x：向未来学习 引领系统创变
671,局部解剖与手术学
672,微积分多元函数与重积分
673,大学物理（力学）
674,计算机文化基础
675,插花艺术
676,EXAM_中国建筑史
677,财务报表分析
678,电路分析
679,AWS 云安全--数据加密和密钥管理
680,宏观经济体制与核算
681,全球数字经济环境下的创新创业与技能发展
682,理解马克思
683,视觉传达设计思维与方法
684,影视制作入门
685,国际市场营销学
686,AP备考环境科学第四部分
687,智圆行方的世界： 中国传统文化概论
688,走近马克思
689,五分钟轻松搞定职场礼仪
690,民族声乐进阶密码——石春轩子教学示范课堂
691,聆听台湾的音乐
692,“案”说生活法律
693,揭开潜意识的奥秘
694,针灸学
695,无服务器架构系列讲解 - Lambda + API Gateway
696,亚历山大大帝伟大吗？
697,AP备考生物学第五部分
698,高等数学习题课——一元函数微分学与不定积分
699,廉颇蔺相如列传
700,社会主义民主与法治
701,自我认知与情绪管理
702,灾害风险管理
703,欧盟经济
704,自然灾害概论
705,服装数字科技
706,邮票上的昆虫学
707,昆虫.意象.哲学
708,服装概论
709,钻井与完井工程
710,科举与中国文化
711,工程职业伦理
712,自然保护与生态安全：拯救地球家园
713,固体废物处置与资源化
714,新生数学基础预修
715,新生大学生活导学
716,初级管理会计
717,中级管理会计
718,中级财务会计
719,大学英语拓展模块（跨文化交际）
720,药物分析
721,e时代的新助教
722,扬州大学_电路分析基础
723,思伦理看科学：一场思辩之旅
724,食物与健康
725,宗教和嘻哈文化
726,创业领导力：美国宇航局的4D卓越团队明星课
727,跨国经营与管理
728,采油工程
729,Introduction to Probability: The Science of Uncertainty
730,史学名家的治史历程与方法
731,2014年清华大学研究生学位论文答辩（一）
732,管理学原理
733,急救护理学
734,华为成功之道：人力资源管理的最佳实践
735,激光及其应用
736,冰壶运动
737,大学生安全与保护
738,文科物理学——生活中的物理
739,传热与流体流动的数值计算
740,细胞生物学：细胞社会的奥秘
741,培育和践行社会主义核心价值观
742,中国建筑史——元明清与民居
743,土力学
744,中国工笔人物画赏析与创作
745,AP Biology - Part 1: The Cell
746,Advanced Java Programming
747,宇宙中心的英语听说课
748,社会统计学(中级)
749,科研伦理与学术规范
750,循证医学
751,临床思维与人际沟通
752,大学英文写作（下）
753,人类进化导论
754,力学与现代生活-开启科学人生
755,Entrepreneurship 101: Who is your customer?
756,绳索救助技术基础
757,中草药与生活的奇幻旅程
758,广东外语外贸大学南国商学院
759,创新创业心理学
760,建筑工程定额预算
761,计算机网络原理
762,分布式操作系统
763,计算机工程概论与职业发展
764,高级语言程序设计
765,科学计算与数学建模
766,水文学原理及应用（2）
767,计算机应用
768,结构力学专题
769,钢结构设计原理
770,网络营销
771,工效学
772,音视频技术
773,Combinatorial Mathematics
774,能耗在线监测系统建设方案
775,上海消防精品课
776,灾害信息传播学
777,信息素养学术研究的必修课（文献检索与利用（化工类））
778,学术之道始于走正道
779,国际形势与中国地位
780,人文清华
781,翻转课堂
782,英文写作指导——科技写作
783,生命科学基础1
784,高等数学实战宝典（下）
785,符号计算语言 Mathematica
786,神经病学
787,会计电算化
788,中国科学院大学新生入学教程―研究生学习与培养
789,创业者心理学：积极心态的力量
790,插花艺术基础
791,创业通关宝典
792,古都揽胜导游实战讲解服务
793,蝴蝶兰生产与应用
794,外科护理学(含皮肤护理）
795,洞悉支柱产业系列课程-中国房地产业
796,烹饪精品课川菜篇
797,气候变化与人类社会
798,Religion and Hip Hop Culture
799,Foundations of Computer Graphics
800,Entrepreneurship 102: What can you do for your customer?
801,日语N3语法
802,基础日语2
803,Preparing for the AP Biology Exam Part1
804,AP Environmental Science - Part 2: Populations
805,创业人力资源管理：如何招聘合适人才
806,中国大国崛起的经济、历史、国际研究分析
807,生命科学基础1分子生物学
808,English Research Paper Writing
809,客户关系管理
810,内科护理学_专
811,内训慕课
812,财务分析
813,营销学原理
814,健康评估
815,军兵种知识
816,20170606测试-创建流程
817,全球通史
818,Tsinghua Chinese: Start Talking with 1.3billion People
819,Will China Rise as a Disruptive Force? The InsidersPerspective
820,R+后期视效――用AE全景插件skybox制作全景视频特效
821,UE4抢滩登陆游戏制作
822,工业级AR游戏模型制作流程
823,The Science of Everyday Thinking
824,微电子电路基础
825,MOOC辅导员课程
826,房屋建筑学
827,水处理工程
828,免疫学基础——第Ⅱ部分
829,西北民族大学_电路原理
830,心理病理学
831,多主体建模
832,电工电子学
833,International Trade Practice English
834,地球科学概论
835,高等教育学
836,系统工程
837,市场营销学
838,妇女健康和权益
839,研究生英语Ⅰ
840,管理经济学
841,数据、模型与决策
842,国际商务英语
843,MBA管理沟通之商务写作(P1班)
844,中学教育见习与实习
845,Data Structures and Algorithm Design Part
846,Water and Wastewater Treatment Engineering:Physicochemical Technology
847,Software as a Service Part 2
848,如何玩转学堂云（第二版）
849,电算化会计信息系统
850,玩转学堂云（第二版）
851,茶文化_reruntest1
852,二级学科讲座——无铅压电材料的压电机理研究
853,重庆科技学院_电路原理
854,中国石油大学（华东）_电路分析
855,温州大学_电路原理
856,重庆大学SPOC教学平台教师使用指南
857,大学生职业指导--就业指导
858,第一章：无人机的发展史
859,画法几何与建筑制图
860,大学计算机基础Ⅱ（办公软件高级应用）
861,摄影-影像造型与叙事
862,设计行不行
863,MOOCs制作与运营
864,标的估值与价值分歧处理
865,大学物理（先修课）-电磁学
866,大学生创业基础
867,神奇的普洱茶
868,化学反应工程
869,大学计算机基础理科
870,普通生物学（先修课）植物和动物
871,Calculus (I)
872,物理AB2（周世平）
873,社区护理学
874,汽车电气设备
875,道路施工技术
876,公路工程检测技术
877,妇产科护理学_专
878,学术之道
879,影视制作（1）
880,李捷：学习领会习近平总书记系列重要讲话的重大意义、深刻内涵和精神实质
881,高等仪器分析
882,大学计算机基础文科
883,研究生英语Ⅱ
884,中国特色社会主义理论与实践研究
885,大学生职业指导--职业认知与职业生涯规划
886,宇宙中心的听说课
887,国防教育
888,儿童口腔医学
889,光通信器件及系统
890,社会学概论
891,艺术美学
892,大学计算机
893,视觉素养导论
894,化学与人类文明
895,道家的智慧
896,5年制药理学
897,SQL Server数据库技术
898,分子生物学
899,品读道家智慧
900,口腔正畸学
901,光电子学
902,现代礼仪
903,心理生活人生
904,清华助教培训
905,地学景观探秘﹒审美﹒文化
906,《信息素养学术研究的必修课》（社科类）
907,工业文化
908,机械原理
909,大学物理2
910,土木工程材料
911,食品安全与检验概论
912,西方建筑文化与翻译
913,批判性读与写
914,学业素养英语
915,商务英语翻译
916,经济学导论
917,建筑英语翻译
918,工程地质
919,概率论与数理统计（先修课）
920,VC++面向对象与可视化程序设计
921,大学英语
922,普通化学
923,营养和健康第1部分：宏量营养素和营养过剩
924,创客培养
925,微观经济学
926,商学导论：10节课带你走进商业世界
927,向京东学什么创京东的十个启示
928,市场营销实务
929,复盘：让创业不败的方法论
930,清华大学研究生学位论文答辩(2014)
931,创业私董会
932,中国国情与中国道路
933,利用Office解决教师工作中的问题
934,数码照片拍摄与处理技术
935,孙子兵法与企业经营
936,激光技术的应用
937,在线课程设计与制作
938,清华大学-大学化学先修课
939,助教培训:如何做好线上辅助教学工作
940,物联网概论
941,大学化学
942,内科护理学_本
943,妇产科护理学_本
944,老年护理学
945,视觉与艺术
946,数字营销：走进智慧的品牌
947,护理研究
948,护理管理学
949,儿科护理学
950,临床护理操作技术
951,物流管理
952,走进广告世界
953,数字逻辑电路
954,大学英语一
955,线性代数习题课
956,普通生物学（先修课）细胞和分子
957,2016年校长奖学金评审会
958,巅峰对话：世界经济与社会发展
959,学术英语综合教程
960,让视觉去飞翔
961,王树增讲长征
962,简易机器人制作
963,智能机器人
964,我的智能乐器公司
965,零基础学编程Python
966,病理学
967,大学生安全之消防大讲堂
968,公积金的那些事儿
969,金融产品风险管理
970,业务办理之财务
971,哲学与人生
972,网店运营与管理
973,汽车系-汽修专业-2015级（3、4班）非胡格班（作业）
974,化妆
975,中华经典菜-中式面点
976,室内装饰
977,食品营养与安全
978,个人形象与职业礼仪塑造
979,中华经典菜-鲁火纯青
980,环境污染事件与应急响应
981,学业辅导—C语言
982,新能源汽车
983,交通法学概论
984,经济新常态与产业转型
985,尽职调查与风险控制
986,沟通与交流
987,财务报表与战略管理
988,社会主义经济理论与实践
989,管理学
990,会计学
991,信号与系统
992,名师风采讲堂
993,Digital IC Analysis & Design
994,汉语听说入门与课程设计
995,学业辅导高数
996,匠心逐梦——学业辅导系列讲座
997,国际私法学
998,社交礼仪
999,大学物理实验
1000,汽车营销学
1001,基础化学实验
1002,精通救生艇筏和救助艇
1003,汽车底盘构造
1004,汽车发动机构造
1005,汽车运用工程
1006,模型制作专业-第一课
1007,汽车钣金修复与喷涂
1008,汽车服务工程导论
1009,室内设计原理
1010,土木工程制图
1011,建筑工程施工安全管理
1012,航海英语
1013,列车运行自动控制技术
1014,发动机原理
1015,地基与基础
1016,金融学
1017,汽车检测与维修
1018,桥梁工程（上）
1019,桥梁施工技术
1020,桥梁结构设计与分析
1021,市政工程计量与计价
1022,物理化学
1023,证券投资技术分析
1024,公路工程计量与计价
1025,证券投资学
1026,照明设计
1027,装饰材料与施工工艺
1028,效果图表现技法
1029,中外建筑与园林
1030,商业银行管理学
1031,国际法学
1032,汽车安全工程（汽车安全与法规）
1033,交通运输专业导论
1034,汽车事故鉴定
1035,打印机、公共盘连接方法
1036,资金托管
1037,link系统商贷报备
1038,高等数学（工专）
1039,口腔解剖生理学
1040,创新思维与发明问题解决方法
1041,人工智能原理
1042,环境工程微生物学
1043,图案
1044,程恩富：准确理解十八大报告的几个理论问题
1045,刘洪仓：关于加强纪律建设 严明党的政治纪律和政治规矩工作
1046,杨伟民：十八届五中全会《建议》学习体会
1047,西班牙语很容易
1048,客户银行卡管理
1049,机械制造技术基础
1050,高等化工热力学
1051,基本人体生物学：细胞和组织
1052,计算机那些事儿
1053,居间业务
1054,房产金融行业商务礼仪
1055,B.04 现代生物科学导论A
1056,认识MOOCs
1057,计算机公共基础
1058,工程图学基础
1059,二手车鉴定与评估
1060,推销技术与谈判技巧
1061,汽车CAD
1062,网络操作系统
1063,通信概论
1064,中国文学与文化
1065,计算物理
1066,Computer Networks
1067,产权业务
1068,（2017年秋季）科技翻译
1069,收据管理规定
1070,普通地质学
1071,足球竞赛规则与裁判法分析
1072,创业导引与创业名家面对面
1073,工程力学
1074,计算机辅助设计
1075,慢速英语听力
1076,2017春大学化学III-001
1077,大学化学III
1078,融信着装标准
1079,办公区打印机卡纸维修教程
1080,计算机军事应用
1081,坚持中国道路 引领社会思潮
1082,融信业务签约规范
1083,职业道德风险提示
1084,战争法
1085,客户风险等级评级培训
